18,-11,-2,22,-12,8,8,-8,-2,1,2,8,-11,3,3,-6,-4,-3,-2,-6,-4,11,4,3,-9,2,-2,0,3,9,-3,4
-8,-2,9,3,12,-4,-2,-5,0,12,-3,4,1,-11,1,-8,-1,-5,1,0,-5,-8,8,2,6,-1,8,3,-3,-1,-6,-11
-5,7,-6,-4,-2,7,-4,10,-9,-2,1,37,29,-5,-11,-8,-6,-6,3,1,3,-1,11,60,11,-8,-6,-12,9,4,-3,-4
6,-4,47,28,-3,32,27,-16,10,-1,18,41,12,12,-12,-7,-9,0,-2,1,2,12,0,7,-11,3,0,-4,-12,7,-9,-5
5,1,43,11,11,36,17,3,1,4,-4,3,2,0,-8,9,-1,2,-9,3,13,4,0,-14,-6,0,13,-10,5,-15,14,-9
-4,16,-7,-3,13,-5,-13,-17,3,0,10,17,9,-4,8,-6,-4,-5,11,-2,-5,-6,10,-3,2,1,-13,4,-2,-7,-5,9
-9,-2,4,0,18,-10,3,17,12,-3,15,68,4,25,-8,0,-2,2,2,12,-3,3,-14,-10,-2,3,4,5,-2,-14,-9,2
3,-1,6,-4,7,1,0,-2,-3,2,13,2,33,29,16,-6,-8,13,-5,-3,-15,-6,-6,10,3,3,1,0,1,-3,5,4
-2,-14,-8,17,14,4,2,16,-12,5,10,6,-5,26,12,-7,4,-11,-8,2,-9,-4,4,1,-6,4,0,-3,-6,7,-8,-1
0,-4,-4,12,-8,-3,-6,7,-6,1,7,-2,-8,0,16,5,-1,6,-7,0,12,6,13,-1,7,-15,9,1,6,-11,0,2
-6,-2,3,-4,9,1,-13,-5,0,6,-16,-3,3,5,-12,7,-13,-9,-2,1,33,58,-4,-7,-4,-4,-6,-1,-9,2,7,7
2,7,-1,4,-9,-5,-13,-1,-14,5,0,4,-9,3,-5,1,-6,-5,-3,14,-3,-7,19,-14,-8,-1,9,-5,-5,-13,-3,-4
13,-12,5,-17,8,-5,8,4,-7,2,-1,-5,5,5,-7,-1,-8,-5,12,-7,-9,-5,8,24,0,-1,9,2,-1,-8,8,-1
-10,6,-17,10,-1,2,-10,6,1,4,0,-2,-6,8,9,4,0,-5,3,13,7,7,8,46,7,-4,16,-6,-7,8,-1,-7
-14,10,8,5,-9,-2,-10,0,12,4,-6,-8,2,4,3,-6,-6,-1,17,18,67,18,19,-3,8,5,-15,-3,-4,2,-11,-10
1,-13,4,5,4,0,-10,-4,8,14,-6,-5,13,-3,-7,-18,-14,-2,109,27,25,-17,-4,3,9,-5,-4,-4,1,2,-10,-1
-8,-6,-1,5,4,3,-9,-3,4,5,-3,-4,-9,-7,2,1,-8,7,6,8,21,11,-6,-10,-9,8,13,-3,28,21,-7,4
1,9,9,-8,-4,-4,2,-6,-3,40,15,-11,-8,12,-14,-2,-9,4,17,14,45,16,21,-22,8,-9,-4,3,9,-3,0,-7
-3,-10,2,-8,9,3,-5,-8,5,26,7,-13,3,5,8,-5,-6,1,1,1,2,0,4,6,3,-3,0,-9,-13,6,3,-6
3,0,4,0,6,-3,4,5,-11,3,3,-5,-2,154,-4,15,-3,-4,5,-7,19,25,0,11,-3,3,-8,-15,-4,10,-4,-7
-9,-6,-4,7,-1,-15,-2,1,144,10,-6,8,-6,0,1,0,-2,1,1,24,33,26,10,3,8,-2,-6,-8,4,-2,-2,1
1,-1,-6,-8,4,-3,0,-2,-18,16,21,20,10,-9,4,0,-7,-14,8,-5,6,-2,-11,3,18,-8,-8,7,1,-1,-5,-7
-20,-9,-2,144,3,16,1,-9,16,45,28,9,-16,-1,-10,16,4,11,14,-4,-9,20,-11,5,4,-1,-10,3,14,7,-9,18
-3,6,-5,-14,12,-7,13,-13,-3,-4,15,-11,-2,13,-11,5,-12,0,-11,-1,4,-12,8,-5,6,-4,-9,11,39,22,-7,-8
12,2,0,-9,2,9,-2,3,-13,15,2,-6,13,11,3,-17,12,17,12,-17,-4,-12,8,-3,1,-3,-15,12,7,10,-9,-4
1,-3,8,-4,-15,4,-7,0,0,-12,-3,5,1,-18,-5,-1,59,26,-3,-6,4,-8,-1,-9,-4,2,4,0,10,5,8,4
-7,4,15,0,-8,12,-5,1,-4,-3,-7,3,-16,-5,3,17,0,-3,2,3,-20,7,-4,-5,0,-1,-5,3,3,45,50,-1
-10,-5,-2,14,-3,5,20,-14,-13,8,5,0,-8,-9,4,4,-3,0,-1,-11,12,3,-10,-4,0,7,-10,4,-2,30,14,10
6,-9,9,8,-1,-7,-4,10,-11,-6,-3,-7,-3,-12,-3,-11,15,-15,-10,19,-1,7,2,-2,1,1,2,-5,-9,11,6,1
-8,4,-4,11,-3,0,-10,-12,11,11,-4,-13,-6,3,6,38,25,6,6,-5,0,4,-12,4,-7,-2,-2,-14,11,13,7,-15
-7,4,8,-12,-9,-2,3,-3,9,4,-17,2,1,15,12,19,38,-3,6,3,-6,15,2,-1,11,-3,6,-2,-12,3,17,-6
-1,2,9,2,0,-14,7,3,8,0,-6,-2,2,-5,4,8,-5,-6,1,-1,1,1,-1,0,-6,1,7,1,-1,-3,-7,5
-2,-6,11,9,-7,-13,-5,0,7,-7,1,-8,-11,-1,3,-4,8,-5,-9,0,-5,-1,12,-2,0,-7,3,-4,0,-1,-7,5
